State,Sector,Scheme,Sub-Scheme,IDi scheme sub-divisions,Benefit,Payment Details,Who is the beneficiary?,Basic Individual Information,,,,,,,,,,,Family Information                                                                    ,,,,,,,,,,,,Relevant Construction Worker/Unorganized Worker (Beneficiary Or Other Family member) Registered (in number of years),"Health Status of relevant family member. If no specific member is mentioned, the cell refers to own beneficiary's health status",Household Infrastructure Information,Fixed Asset Limit,(excl) Based on Household Infrastructure,(excl) Death/ Disability circumstances,(excl) Occupation in public or government sector,(excl) Already received/receiving benefit from a similar (but different) scheme,(excl) Already received benefit of the scheme,(excl) Other Criteria,Documentation Required,Other Comments
,,,,,,,,Age,Gender,Place of permament residence,Rural / Urban,Occupation,Caste,Disadvantaged Group,BPL status,Pregnancy Status,Individual Income,Marital Status,Number of Children Ever Had,Number of female children,Hostel Accommodation ,Child School/College Type,Medium of Education,Child School Class/Grade,Child Field of Study,Child School Marks,First generation diploma holder/graduate,Selected through Government Quota,Profession of relevant family member (not the beneficiary),Family Income,,,,,,,,,,,,
Chhattisgarh,Right to Livelihood,BoCW,Noni Sashaktikaran Scheme,,"First 2 daughters in a family get INR 20,000 is directly transferred to bank account",Direct transfer to bank account,First 2 daughters of a construction worker,18 - 21,Female,Chhattisgarh,,,,,,,,,>= 1,>= 1,,,,>= Class 10,,,,,Construction Worker Parent,,Registered > 0,,,,,,,,Received benefit for 2 daughters,,"Age Proof
-and- Daughter's bank passbook copy
-and- 10th Mark Sheet
-and- BoCW Registration Card of CW",BoCW Registration Cards are valid for 1 year
Chhattisgarh,Right to Livelihood,BoCW,Mini Mata Mahtari Jatan Yojna,,"Female construction worker gets INR 20,000 during pregnancy","20,000",Pregnant construction worker,,Female,,,Construction Worker,,,,Pregnant,,,,,,,,,,,,,,,Registered > 90 days,,,,,,,,Received benefit for 2 deliveries,,"Bank Passbook Copy
-and-
Certificate issued by Mitanin/Doctor -or- Maternal Child Card payable by ANM
-and- BoCW Registration Card",
Chhattisgarh,Right to Livelihood,BoCW,Chief Minister Shramik Tool Assistance Scheme,,A one-time benefit of Rs. 1000 is provided to buy a tool kit (if tool kit is available then the kit is given) ,Mostly 1000 INR is transferred to the beneficiary's bank account. If the tool kit is available then it is distributed.,"Mason, electrician, plumber, carpenter, porter, painter, etc",,,,,"Mason
-or- Electrician
-or- Plumber
-or- Carpenter
-or- Porter
-or- Painter
-or- Others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bank Passbook Copy
-and-
BoCW Registration Card
-and-
Training Certificate ","Training certificate from a scheme run by govt or an agency certified for training.

All the professions (under UoW) that need skills and the use of tools can be under this scheme."
Chhattisgarh,Right to Livelihood,BoCW,Naunihal Scholarship Scheme,,"Children of construction workers get INR 500 - INR 5,000 per annum all the way from Class 1 to Postgraduate studies",,Children of Construction Workers,,,,,,,,,,,,>= 1,,,,,Class 1 - Post Graduate,,,,,Construction Worker parent,,Registered > 0,,,,,,,Receiving benefit from a similar scheme,Received benefit for 2 children,,"Bank Passbook Copy of the child
-and-
Certificate From School Principal
-and- BoCW Registration Card of CW",
Chhattisgarh,Right to Livelihood,BoCW,Medical Assistance Scheme in Accident,,"One time benefit of INR 20,000 worth medical bills paid for a construction worker",,Construction Worker,,,,,Construction Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,"Bank Passbook Copy
-and-
Hospital Certificate
-and- BoCW Registration Card",
Chhattisgarh,Right to Livelihood,BoCW,Pradhan Mantri Bima Suraksha Yojana,A,"Construction worker's next of kin receive INR 2,00,000 in case of accidental death.

INR 12 per year to be deposited for scheme",,Construction Worker's next of kin,18 - 70 (for deceased construction worker),,,,,,,,,,,,,,,,,,,,,Construction worker family member,,Registered > 0,Accidental death of construction worker family member,,,,,,,,,"Hospital Certificate
-and-
Death Certificate
-and-
Postmortem copy
-and-
Police FIR Copy
-and- BoCW Registration Card of CW",
Chhattisgarh,Right to Livelihood,BoCW,Pradhan Mantri Bima Suraksha Yojana,B,"Construction worker receives INR 2,00,000 in case of accidental permament disability

INR 12 per year to be deposited for scheme",,Construction Worker,18 - 70,,,,Construction Worker,,,,,,,,,,,,,,,,,,,Registered > 0,Permanent Disability,,,,,,,,,"Hospital Certificate
-and-
Police FIR Copy
-and-
Disability certificate
-and-
BoCW Registration Card",
Chhattisgarh,Right to Livelihood,BoCW,Vishwakarma Funeral and Ex-gratia Payment Scheme on Accidental Death,A,"If Construction worker has a normal death, their next of kin receive INR 25,000 ex-gratia and INR 5,000 for funeral.",Payment within 72 hours of receipt of intimation,Construction Worker's next of kin,18 - 60,,,,,,,,,,,,,,,,,,,,,Construction worker family member,,,Normal death of construction worker family member,,,,"Death by:
Self-immolation
-or-
Consumption of drugs or substances
-or-
Death caused by assault in violation of law",,,,Application is made one year after the death of Construction Worker,"Hospital Certificate
-and-
Death Certificate
-and-
Bank Passbook Copy
-and-
Police FIR Copy
-and- BoCW Registration Card of CW","An accident during the working hours and/or at the site of work.
Any accidental death that occurred from the beneficiary's home to work, during the working period and from the place of work to the home will be considered."
Chhattisgarh,Right to Livelihood,BoCW,Vishwakarma Funeral and Ex-gratia Payment Scheme on Accidental Death,B,"If Construction worker has an accidental death, their next of kin receive INR 1,00,000 ex-gratia and INR 5,000 for funeral.",Payment within 72 hours of receipt of intimation,Construction Worker's next of kin,18 - 60,,,,,,,,,,,,,,,,,,,,,Construction worker family member,,,Accidental death of construction worker family member,,,,"Death by:
Self-immolation
-or-
Consumption of drugs or substances
-or-
Death caused by assault in violation of law",,,,Application is made one year after the death of Construction Worker,"Hospital Certificate
-and-
Death Certificate
-and-
Bank Passbook Copy
-and-
Police FIR Copy
-and- BoCW Registration Card of CW","Any accidental death that occurred from the beneficiary's home to work, during the working period and from the place of work to the home will be considered."
Chhattisgarh,Right to Livelihood,BoCW,Vishwakarma Funeral and Ex-gratia Payment Scheme on Accidental Death,C,"If Construction worker has an accidental permanent disability, they receive INR 75,000 ex-gratia and INR 5,000 for funeral.",Payment within 72 hours of receipt of intimation,Construction Worker,18 - 60,,,,Construction Worker,,,,,,,,,,,,,,,,,,,,Accidental permanent disability,,,,"Disability due to:
Self-immolation
-or-
Consumption of drugs or substances",,,,Application is made one year after the incident that caused disability,"Hospital Certificate
-and-
Death Certificate
-and-
Bank Passbook Copy
-and-
Police FIR Copy
-and- BoCW Registration Card","Any accidental disability that occurred from the beneficiary's home to work, during the working period and from the place of work to the home will be considered."
Chhattisgarh,Right to Livelihood,BoCW,Chief Minister Cycle Assistance Scheme,,Construction worker receives cycle,Provided by the local government,Construction Worker,18 - 35,Female,,,Construction Worker,,,,,,,,,,,,,,,,,,,Registered > 90 days,,,,,,,,,,"BoCW Registration Card
-and-
Bank Passbook Copy",
Chhattisgarh,Right to Livelihood,BoCW,Chief Minister Cycle Assistance Scheme,,Construction worker receives cycle,Provided by the local government,Construction Worker,18 - 50,Male,,,Construction Worker,,,,,,,,,,,,,,,,,,,Registered > 90 days,,,,,,,,,,"BoCW Registration Card
-and-
Bank Passbook Copy",
Chhattisgarh,Right to Livelihood,BoCW,Chief Minister Sewing Machine Assistance Scheme,,Female construction worker receives sewing machine,,Female Construction Worker,36 - 60,Female,,,Construction Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,"BoCW Registration Card
-and-
Training Certificate from any govt affiliated training centre
-and-
Bank Passbook Photocopy",
Chhattisgarh,Right to Livelihood,BoCW,Meritorious Student / Student Education Promotion Scheme,A,"Children of construction workers get INR 2,000 to INR 12,500 if they perform well in class 10th or 12th Chhattisgarh Board exams. The amount is decided based on the percentage obtained by the student.",Scholarship,Children of Construction Worker,,,,,,,,,,,,>= 1,,,,,"Class 10
-or-
Class 12",,>= 75%,,,Construction Worker parent,,Registered > 90 days,,,,,,,,Received benefit for first 2 children,,"Marks List
-and-
Certificate issued by school Principal
-and-
Photocopy of child's bank passbook
-and-
BoCW Registration Card of CW",
Chhattisgarh,Right to Livelihood,BoCW,Meritorious Student / Student Education Promotion Scheme,B,"Children of construction workers get INR 2,000 to INR 12,500 if they perform well in class 10th or 12th Chhattisgarh Board exams. An additional benefit of 1,00,000 is given if the child is in the top 10 of merit list.",Scholarship + 1 lakh,Children of Construction Worker,,,,,,,,,,,,>= 1,,,,,,,Amongst top 10 in the merit list,,,Construction Worker parent,,Registered > 90 days,,,,,,,,Received benefit for first 2 children,,"Marks List
-and-
Certificate issued by school Principal
-and-
Bank passbook photo copy
-and-
BoCW Registration Card of CW",
Chhattisgarh,Right to Livelihood,BoCW,Medical Plan for Critical Illness,,"Construction worker gets one time assistance up to INR 20,000 for illness treatment",,Construction Worker,,,,,Construction Worker,,,,,,,,,,,,,,,,,,,Registered > 90 days,,,,,,,,,,"Hospital Certificate
-and-
Bank Passbook Photocopy
-and-
BoCW Registration Card",
Chhattisgarh,Right to Livelihood,BoCW,Chief Minister Construction Laborer Skill Development and Family Empowerment Scheme,A,"Certificate training for construction workers in their area of work. Honorarium payment.
The skill development will be done only for one stream of interest for example electricians, plumbers, wiring etc.",,"Construction Worker
",18 - 50,,,,Construction Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,"Passbook photo copy
-and-
BoCW Registration Card
-and-
Photo",
Chhattisgarh,Right to Livelihood,BoCW,Chief Minister Construction Laborer Skill Development and Family Empowerment Scheme,B,Training for family members in their desired area of interest as well. Honorarium payment,,Family member of Construction Worker,18 - 50,,,,,,,,,,,,,,,,,,,,,Registered construction worker family member,,Registered > 0,,,,,,,,,,"Passbook photocopy
-and-
BoCW Registration Card of CW
-and-
Photo",
Chhattisgarh,Right to Livelihood,BoCW,Chief Minister Nirman Shramik Swalamban Pension Scheme,,Pension fund for construction workers. INR 1000 by the worker; INR 1000 as central share amount by PFRD and INR 1000 by the board ,,Construction worker,18 - 60,,,,Construction Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,"Passbook photo copy
-and-
Photo
-and-
BoCW Registration Card",
Chhattisgarh,Right to Livelihood,BoCW,Construction Workers Permanent Disability and Accidental Death Pension Scheme,A,(in case of disability),"1,00,000",Construction worker,18 - 60,,,,Construction Worker,,,,,,,,,,,,,,,,,,,Registered > 90 days,,,,,,,,,"Not registered in the Swalamban Pension Scheme
-and-
Don't have money deposited in the Swalamban Pension account",BoCW Registration Card,https://cglabour.nic.in/BOCW/ApplicationSchemes.aspx
Chhattisgarh,Right to Livelihood,BoCW,Construction Workers Permanent Disability and Accidental Death Pension Scheme,B,(in case of death),"1,00,000",Family member of Construction Worker,,,,,,,,,,,,,,,,,,,,,,Registered construction worker family member,,Registered > 90 days,,,,,,,,,,BoCW Registration Card of CW,
Chhattisgarh,Right to Livelihood,UoW,Chief Minister Unorganized Workers Cycle Assistance Scheme,,One cycle (per beneficiary) will be payable.,,Unorganized Worker,18 - 40,Female,,,Unorganized Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,The beneficiary has already received a cycle (through other schemes as applicable)  ,,,UoW Registration Card,UoW Registration Cards are valid upto 5 years
Chhattisgarh,Right to Livelihood,UoW,Chief Minister Unorganized Workers Sewing Machine Assistance Scheme,,One sewing machine (per beneficiary) will be payable,,Unorganized Worker,18 - 50,Female,,,"Women who do tailoring work (sewing, embroidery or weaving)
-or-
are employed by an employer in the tailoring field
-or-
have their own business",,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Unorganized Workers Newspaper Hawker Cycle Assistance Scheme,,One cycle (per beneficiary) will be payable,,Unorganized Worker,,,,,Newspaper Distributor Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,The beneficiary has already received a cycle (through other schemes as applicable)  ,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Chief Minister Unorganized Workers Critical Illness Medical Assistance Scheme,,"For the treatment of kidney, cancer sickling (sickle cell anemia), heart disease, AIDS and paralysis to the registered unorganized worker, medical assistance of Rs. 50,000","50,000",Unorganized Worker,18 - 60,,,,Unorganized Worker,,,,,,,,,,,,,,,,,,,Registered > 90 days,,,,,,,,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,"Chief Minister Kotwar, Cycle and Torch Assistance Scheme",,A total of Rs.750 per person will be provided for one cycle (per beneficiary) and torch,750,Unorganized Worker,18 - 60,,,,Unorganized Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,"Chief Minister Raut, Shepherd and Milking Cycle Assistance Scheme",,One cycle (per beneficiary) will be payable.,,Unorganized Worker,18 - 60,,,,"Unorganized workers in the Raut
i.e. Shepherd category",,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,"UoW Registration Card
Caste proof: Letter from panchayat",
Chhattisgarh,Right to Livelihood,UoW,"Scales, Weights and Basket Assistance Scheme for Retail Vegetable, Fruit and Flower Sellers",,The electronic scales will be provided by the Board once,,Unorganized Worker,> 18,,,,Retail vegetable -or- fruit -or- flower seller,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Atal Pension Yojana,,The board will provide 50% of the amount deposited by the worker or Rs. 1000 (whichever is less) for 5 years.,"1,000 pa",Unorganized Worker,18 - 40,,,,Unorganized Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,E-Rickshow Assistance Scheme,,"UoW Board will provide 50,000 as a contribution to registered rickshaw/auto drivers given that the worker contributes 10,000 amount. The remaining amount can be taken as a loan from the bank. UoW Board will sanction the 50,000 contribution only after proof of receipt of bank loan is provided by the beneficiary.","50,000",Unorganized Worker,18 - 50,,,,Cycle -or- Auto Driver,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,E-Thela Sahayata Scheme,,"The contribution amount of the board for e-carrying to the registered hand cart operator is Rs.30,000/-, his own contribution amount is Rs.10,000/- and the balance amount will be payable by the beneficiary through loan from the bank. Under the scheme, the contribution amount of Rs. 30,000/- will be payable to the beneficiary only on production of the record of receipt of loan from the bank.","30,000",Unorganized Worker,18 - 50,,,,Running handcarts,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,"Receipt of loan from the bank
-and-
UoW Registration Card",
Chhattisgarh,Right to Livelihood,UoW,Smart Wedding Cart (Readymade Kitchen) Assistance Scheme,,"Mandal's contribution amount for Smart Wedding Cart (Readymade Kitchen) to registered tea, chaat hawker or seller of food items by handcart is Rs.30,000/- own contribution amount Rs.10,000/- and balance amount through loan from bank will be payable by the beneficiary. Under the scheme, the contribution amount of Rs. 30,000/- will be payable to the beneficiary only on production of the record of receipt of loan from the bank.","30,000",Unorganized Worker,18 - 50,,,,"Tea Hawker
-or-
Chaat Hawker
-or-
workers selling food items",,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,"Receipt of loan from the bank
-and-
UoW Registration Card",
Chhattisgarh,Right to Livelihood,UoW,Safety Equipment Assistance Scheme for Garbage Pickers,,"Gloves, shoes and raincoat for safety equipment will be provided to the registered waste picker at the rate fixed by GEM.",,Unorganized Worker,18 - 60,,,,Waste Picker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Unorganized Workers Death and Disability Assistance Scheme,A,Rs. 1 lakh on the death of the registered worker.,"1,00,000",Family member of the unorganized worker,,,,,,,,,,,,,,,,,,,,,,Unorganized Worker Family Member,,Registered > 0,,,,,"Death is caused by suicide
-or-
by substance abuse
-or-
beatings in contravention of law for the purpose of committing an offence",,The beneficiary has benefitted under the Financial Assistance and Rehabilitation Assistance Scheme for unorganized workers suffering from silicosis,,,UoW Registration Card of UW,
Chhattisgarh,Right to Livelihood,UoW,Unorganized Workers Death and Disability Assistance Scheme,B,"In case of permanent disability caused due to an accident on the job (or during working hours) - a benefit of ₹50,000 will be provided","50,000",Unorganized Worker,18 - 60,,,,Unorganized Worker,,,,,,,,,,,,,,,,,,,Registered > 0,Construction worker has a permanent disability,,,,,,The beneficiary has benefitted under the Financial Assistance and Rehabilitation Assistance Scheme for unorganized workers suffering from silicosis ,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Chief Minister Unorganized Workers Izzat Monthly Season Ticket Card Scheme,,"Benefit for monthly pass will be issued allowing 150 kms in trains per dayunder the scheme. The expenditure on monthly railway pass is paid by the Board to the registered unorganized workers travelling daily.
This can be issued till the scheme and worker's registration is valid.",,Unorganized Worker,,,,,Unorganized Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Economic and Rehabilitation Assistance Scheme for Workers Suffering from Silicosis (disease),,"Under the scheme, Rs. 3,00,000/- will be provided to the registered beneficiary suffering from silicosis disease, out of which Rs. 1,00,000/- will be transferred to the beneficiary's account and Rs. 2,00,000/- FD. will be payable as FD The nature of interest will be in the form of monthly interest (Monthly Income Scheme M.I.S.). (The worker will be eligible for benefits on the survival of the worker and in case of death due to silicosis, his legitimate dependents will be eligible for benefits.)",,Unorganized Worker (Sub-category: Contract Labors),,,,,Contract Labors,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Pandit Deendayal Upadhyay Shram Anna Sahayata Yojana,,"Under the scheme, the registered unorganized workers gathering in Chavadi, where Pt. Deendayal Upadhyay Shram Anna Sahayata Yojana is run by the Labor Department, will be provided hot food on a coupon of Rs.5/-",,Unorganized Worker,,,,,Unorganized Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,UoW Registration Card,Applicable if the Labour Department runs Shram Anna Sahayata Scheme
Chhattisgarh,Right to Livelihood,UoW,Required Equipment Assistance Scheme for Washermen,,"To the registered washerman of 18 to 60 years, material up to Rs. 1500/- will be provided - electronic / coal iron, clothes pin, washing paddle (thappi / kutela).",,Unorganized Worker,18 - 60,,,,Washerman,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Unorganized Workers Maternity Assistance Scheme,,"A lump sum amount of Rs. 20,000 will be provided to the registered unorganized female worker after delivery. The benefit of the scheme will be payable only for two deliveries.",,Unorganized Worker,,Female,,,Unorganized Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,Received benefit for 2 deliveries,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Necessary Equipment Assistance Scheme for Barber,,"Under the scheme, the registered barber will get material up to Rs. 1500/-, barber kit including scissors, state razor, comb, hair cutting cap, water spray bottle and shaving brush will be payable only to the beneficiaries of rural areas.",,Unorganized Worker,18 - 60,Male,,Rural,Barber,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,If benefit has been availed from another parallel scheme,,,"UoW Registration Card
-and- address proof indicating address of a rural area",
Chhattisgarh,Right to Livelihood,UoW,Scholarship Scheme for Children of Unorganized Workers,,Rs. 500/- to Rs. 5000/- annual class wise scholarship will be payable to the first two studying children of registered unorganized worker from class 01 to postgraduate level-,,Children of Unorganized Worker,,,,,,,,,,,,>= 1,,,,,Class 1 - Ph.D.,,,,,,,Registered > 0,,,,,,,If the child is receiving a scholarship amount under other scheme(s),Received benefit for 2 children,,UoW Registration Card of UW,
Chhattisgarh,Right to Livelihood,UoW,Safai Karamcharis Skill Upgradation Scheme,,Registered sweepers and family members under the scheme will get VTP in the businesses identified by CSSDA. Training will be given by The workers trained by the Board will be given honorarium for each day at the rate of minimum wages fixed by the Labor Department for unskilled workers.,,,> 18,,,,Safai Karamchari,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,If benefit has been availed from another parallel scheme,,,UoW Registration Card,VTP means Vocational Training Providers and CSSDA means Chhattisgarh State Skill Development Authority.
Chhattisgarh,Right to Livelihood,UoW,Safai Karamkar Son/Daughter Cycle Assistance Scheme,,The cycle will be provided to the son/daughter (up to two children) studying in the school/university of the registered sweeper.,,Children of Unorganized Worker,>= 14,,,,Safai Karamchari,,,,,,,>= 1,,,,,Class >= 9,,,,,,,Registered > 0,,,,,,,If benefit has been availed from another parallel scheme,Received benefit for 2 children,,UoW Registration Card of UW,
Chhattisgarh,Right to Livelihood,UoW,Special Coaching Scheme for Son/Daughter of Safai Karamcharis,,"The fee for special coaching for admission in engineering, medical, CA, MBA or other vocational education to the son / daughter (two children) studying in class X and above classes will be payable by the board.",,Children of Unorganized Worker,,,,,,,,,≠,,,>= 1,,,,,>= Class 10,"Engineering
-or- Medical
-or- CA
-or- MBA
-or- Other vocational courses",,,,,,Registered > 0,,,,,,,If benefit has been availed from another parallel scheme,Received benefit for 2 children,,UoW Registration Card of UW,
Chhattisgarh,Right to Livelihood,UoW,Safai Karamkar Out Patient Medical Assistance Scheme,A,"Medical assistance up to Rs. 2000 will be provided annually to the registered sweeper for medical aid purchase.
Reimbursement of the certified bill by the doctor of the government hospital (for the same medicine which is not available in the government hospital) will be done.",,Unorganized Workers,18 - 60,,,,Safai Karamchari,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,UoW Registration Card,
