header, entity
_id,id
data.preSurveyInfoContainer.surveyorName,family
data.preSurveyInfoContainer.studentName,family
data.preSurveyInfoContainer.studentUDISE,family
data.preSurveyInfoContainer.surveyAreaType,family
data.preSurveyInfoContainer.tolaAreaLocality,family
data.preSurveyInfoContainer.pinCode,family
data.preSurveyInfoContainer.dateOfSurvey,family
data.preSurveyInfoContainer.surveyStartTime,family
data.preSurveyInfoContainer.wardName,family
data.preSurveyInfoContainer.wardNumber,family
data.preSurveyInfoContainer.village,family
data.preSurveyInfoContainer.surveyVillageTownCity,family
data.preSurveyInfoContainer.preSurveyInfoContainer105Dateofthesurvey,family
data.respondentDetailsContainer.respondentHonorific,respondent
data.respondentDetailsContainer.respondentFullName,respondent
data.respondentDetailsContainer.respondentGender,respondent
data.respondentDetailsContainer.respondentCaste,family
data.respondentDetailsContainer.respondentDocuments.1.1,respondent
data.respondentDetailsContainer.respondentDocuments.1.2,respondent
data.respondentDetailsContainer.respondentDocuments.1.3,respondent
data.respondentDetailsContainer.respondentDocuments.1.4,respondent
data.respondentDetailsContainer.respondentDocuments.1.5,respondent
data.respondentDetailsContainer.respondentDocuments.1.6,respondent
data.respondentDetailsContainer.respondentDocuments.1.7,respondent
data.respondentDetailsContainer.respondentPRofCG,family
data.respondentDetailsContainer.respondentHasPhone,respondent
data.respondentDetailsContainer.anyPregnantWomen,family
data.respondentDetailsContainer.anyLactatingWomen,family
data.respondentDetailsContainer.respondentDateOfBirth,respondent
data.respondentDetailsContainer.respondentRationCardType,family
data.respondentDetailsContainer.respondentDetailsContainer30701Doyouhavearesidencecertificate,family
data.respondentDetailsContainer.respondentPhoneNumber,respondent
data.respondentDetailsContainer.respondentDetailsContainer30503Entertherespondentscastecategory,family
data.respondentDetailsContainer.respondentNeighbourhoodPhone,family
data.respondentDetailsContainer.namesOfLactatingWomen.1.namesOfPregnantWomenText2,family
data.respondentDetailsContainer.numberOfLactatingWomen,family
data.respondentDetailsContainer.respondentPTGOrPVTG,respondent
data.respondentDetailsContainer.respondentForestDweller,respondent
data.respondentDetailsContainer.namesOfPregnantWomen.1.namesOfPregnantWomenText.1,family
data.respondentDetailsContainer.namesOfPregnantWomen.1.namesOfPregnantWomenText.2,family
data.respondentDetailsContainer.numberOfPregnantWomen,family
data.respondentJobContainer.respondentJob,respondent
data.respondentJobContainer.respondentJobOther,respondent
data.respondentJobContainer.isInEducationalInsitution,respondent
data.respondentJobContainer.studentEducationLevel,respondent
data.familyDetailsContainer.howManyFamilyMembers,family
data.familyDetailsContainer.namesOfFamilyMembers.1.detailsOfFamilyMember.familyMemberJob.1,familyMember
data.familyDetailsContainer.namesOfFamilyMembers.1.detailsOfFamilyMember.familyMemberJob.2,familyMember
data.familyDetailsContainer.namesOfFamilyMembers.1.detailsOfFamilyMember.familyMemberJob.3,familyMember
data.familyDetailsContainer.namesOfFamilyMembers.1.detailsOfFamilyMember.familyMemberJob.5,familyMember
data.familyDetailsContainer.namesOfFamilyMembers.1.detailsOfFamilyMember.familyMemberJob.6,familyMember
data.familyDetailsContainer.namesOfFamilyMembers.1.detailsOfFamilyMember.familyMemberDOB.1,familyMember
data.familyDetailsContainer.namesOfFamilyMembers.1.detailsOfFamilyMember.familyMemberDOB.2,familyMember
data.familyDetailsContainer.namesOfFamilyMembers.1.detailsOfFamilyMember.familyMemberDOB.3,familyMember
data.familyDetailsContainer.namesOfFamilyMembers.1.detailsOfFamilyMember.familyMemberDOB.4,familyMember
